title,summary,api_sentiment_score,api_sentiment_label,finbert_probs,finbert_score,finbert_label,error
Jim Cramer Reminds Investors 'Nobody Ever Made A Dime Panicking' After Market Rally Amid Tariff Pause - NVIDIA  ( NASDAQ:NVDA ) ,"After President Donald Trump announced a 90-day pause on most tariffs, U.S. markets soared, prompting CNBC's Jim Cramer to share major lessons to be learned from the recent market chaos. What Happened: Major indices like the Dow, S&P 500, and Nasdaq rebounded significantly after the pause was ...",0.222298,Somewhat-Bullish,"[[0.9091626405715942, 0.03595219552516937, 0.05488510802388191]]",-0.8542775325477123,Bullish,1.0765755325477122
"US Stocks Likely To Open Lower Ahead Of March Inflation Release: Expert Highlights 'Fairly Weak Returns' After 5%+ Gains In S&P 500 - Apple  ( NASDAQ:AAPL ) , Amtech Systems  ( NASDAQ:ASYS ) ",U.S. stock futures were lower on Thursday after staging a stellar recovery on Wednesday after a tariff pause. Futures of major benchmark indices were down in premarket. President Donald Trump attributed the tariff pause to negotiation efforts by roughly 75 non-retaliating nations in a Truth ...,0.145367,Neutral,"[[0.008295504376292229, 0.9734761118888855, 0.018228396773338318]]",0.00993289239704609,Neutral,0.1354341076029539
3 Top Vanguard ETFs to Buy With the S&P 500 in Correction,"With 91 exchange-traded funds ( ETFs ) in its lineup, Vanguard always has an ETF in which you can invest. That's true regardless of what's going on with the economy and the market. Many investors could be apprehensive about buying any fund right now with the S&P 500 ( SNPINDEX: ^GSPC ) down ...",0.284136,Somewhat-Bullish,"[[0.017607256770133972, 0.8369032144546509, 0.14548957347869873]]",0.12788231670856476,Neutral,0.15625368329143524
"Trump's Tariffs Could Push Apple iPhone Prices To A Staggering $3,500, Says Top Analyst - Apple  ( NASDAQ:AAPL ) ","Following President Donald Trump's global tariffs, a leading tech analyst has predicted that Apple Inc. AAPL iPhones could see a significant price hike if manufacturing shifts to the U.S.",0.182397,Somewhat-Bullish,"[[0.7688975930213928, 0.20200467109680176, 0.029097795486450195]]",-0.7397997975349426,Bullish,0.9221967975349427
3 Cheap Tech Stocks to Buy Right Now,"With the recent stock market crash, a number of tech stocks have suddenly gone on sale with attractive valuations. While there remains a lot of uncertainty in the market about what happens now that tariffs have been implemented, these stocks should do well over the long term.Let's look at three ...",0.206823,Somewhat-Bullish,"[[0.4589504897594452, 0.014957285486161709, 0.5260921716690063]]",0.06714168190956116,Bearish,0.13968131809043885
"S&P 500 Records Biggest Surge Since 2008 As Trump Pauses Tariffs: Greed Index Remains In 'Extreme Fear' Zone - Apple  ( NASDAQ:AAPL ) , CarMax  ( NYSE:KMX ) ","The CNN Money Fear and Greed index showed easing in the overall fear level, while the index remained in the ""Extreme Fear"" zone on Wednesday. U.S. stocks settled sharply higher on Wednesday, with the Dow Jones index jumping more than 2,900 points during the session.",0.01219,Neutral,"[[0.9278472065925598, 0.034282386302948, 0.03787040710449219]]",-0.8899767994880676,Bullish,0.9021667994880677
"SPY, QQQ Call Volumes Spiked Minutes Before Tariff Pause Announcement: Alexandria Ocasio-Cortez Demands Disclosure From Congress Members - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",Alexandria Ocasio-Cortez ( D-N.Y. ) has called for a disclosure by Congress members after observing that the Nasdaq call volume spiked minutes before President Donald Trump's announcement on a tariff pause. What Happened: Trump announced a pause in the tariffs in a Truth Social post around ...,0.09788,Neutral,"[[0.12347915768623352, 0.3090002238750458, 0.5675205588340759]]",0.4440414011478424,Bearish,-0.34616140114784244
"Trump Says 'This Is A Great Time To Buy', But Portfolio Managers Give A Reality Check: 'Permanent Damage Has Been Done' - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ","President Donald Trump indicated a more lenient approach to his trade agenda on Wednesday, leading to a significant rally in the stock market, but portfolio managers and analysts aren't fully convinced.",0.208079,Somewhat-Bullish,"[[0.6260848641395569, 0.2645699381828308, 0.10934525728225708]]",-0.5167396068572998,Bullish,0.7248186068572998
"Vietnam, A Hub For US Tech Giants Like Apple And Nvidia, Wants To Talk Trade After Trump Pauses 46% Tariff - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) ","The U.S. and Vietnam have launched trade negotiations after President Donald Trump paused the implementation of a 46% tariff on Vietnam's exports, a move that could bolster the country's growing tech manufacturing sector.",0.137249,Neutral,"[[0.9377287030220032, 0.022343721240758896, 0.039927612990140915]]",-0.8978010900318623,Bullish,1.0350500900318622
"VERO, X, RDW, AAPL, TSLA: Top 5 Trending Stocks Today - Apple  ( NASDAQ:AAPL ) , Redwire  ( NYSE:RDW ) ","Wall Street experienced a significant upswing today, driven by a surprising announcement from President Donald Trump regarding a temporary pause on tariffs for certain countries. This development led to a broad risk-on rally, propelling major indices to multi-month highs.",0.204314,Somewhat-Bullish,"[[0.9472808837890625, 0.025763031095266342, 0.026956073939800262]]",-0.9203248098492622,Bullish,1.1246388098492623
"Technology Stocks Outperform After Trump's Tariff Pause: Microchip Technology, AMD Lead Sector Higher - SPDR Select Sector Fund - Technology  ( ARCA:XLK ) ",Technology is Wednesday's top performing sector following Trump's tariff pause. The Technology SPDR Select Sector Fund ETF gains 13.43% in relief rally. Pelosi's latest AI pick skyrocketed 169% in just one month. Click here to discover the next stock our government trade tracker is ...,0.196458,Somewhat-Bullish,"[[0.6555511355400085, 0.0535629503428936, 0.29088592529296875]]",-0.3646652102470398,Bullish,0.5611232102470398
Time to Buy Broadcom  ( AVGO )  Stock as Markets Rip Higher,"Added to the Zacks Rank #1 (Strong Buy) list on Wednesday, Broadcom's (AVGO) stock is standing out as markets ripped higher on news that President Trump will temporarily rescind reciprocal tariffs on many countries outside of China.",0.342675,Somewhat-Bullish,"[[0.9469460844993591, 0.02484363131225109, 0.0282102320343256]]",-0.9187358524650335,Bullish,1.2614108524650336
Why Aren't You Buying the Dip in Apple?,"Apple has become oversold, with its Relative Strength Index under 30. History says that you should buy the stock.",-0.019642,Neutral,"[[0.013379434123635292, 0.9009664058685303, 0.08565416187047958]]",0.07227472774684429,Neutral,-0.09191672774684428
Behind the Scenes of Apple's Latest Options Trends - Apple  ( NASDAQ:AAPL ) ,"Deep-pocketed investors have adopted a bearish approach towards Apple AAPL, and it's something market players shouldn't ignore. Our tracking of public options records at Benzinga unveiled this significant move today.",0.170606,Somewhat-Bullish,"[[0.13117773830890656, 0.15981946885585785, 0.7090027928352356]]",0.577825054526329,Bearish,-0.407219054526329
"AMD Powers Google Cloud's New AI Servers Promising 80% Boost In Speed - Alphabet  ( NASDAQ:GOOGL ) , Advanced Micro Devices  ( NASDAQ:AMD ) ","AMD teams up with Google Cloud to power new C4D, H4D VMs, promising up to 80% more throughput with Zen 5 chips. Despite gains from new cloud deals, AMD faces pressure from China's 34% tariffs and shrinking U.S. data center spending. Pelosi's latest AI pick skyrocketed 169% in just one month.",0.0,Neutral,"[[0.796103835105896, 0.17089693248271942, 0.03299931809306145]]",-0.7631045170128345,Bullish,0.7631045170128345
"Apple Faces Up To 90% Cost Surge On iPhones If US Tariffs Stick: Analyst Looks At Possible Shift To India, Price Increase - Apple  ( NASDAQ:AAPL ) ","Apple may face a 90%+ iPhone cost hike if U.S. assembly and tariffs are enforced, BofA's Mohan warns. Analyst says Apple could offset tariff risks by boosting India output, raising prices, or shifting to 2-year product cycles.",0.101404,Neutral,"[[0.941084086894989, 0.02710130624473095, 0.03181462362408638]]",-0.9092694632709026,Bullish,1.0106734632709027
Why Shares of Apple Are Skyrocketing After One of Its Worst 4-Day Stretches in 25 Years,"Shares of the consumer tech giant Apple ( NASDAQ: AAPL ) had blasted over 11% higher, as of 1:55 p.m. ET today, after President Donald Trump announced a 90-day pause on higher tariff rates for most countries and a universal 10% tariff base during the pause, citing progress on negotiations, ...",0.159215,Somewhat-Bullish,"[[0.8789807558059692, 0.09725626558065414, 0.02376299723982811]]",-0.8552177585661411,Bullish,1.0144327585661412
"Wall Street Roars As Trump Pauses Tariffs For Non-Retaliator, Hikes China Duties To 125% - Apple  ( NASDAQ:AAPL ) , Advanced Micro Devices  ( NASDAQ:AMD ) ","Wall Street roared higher on Wednesday in a dramatic reversal of sentiment, as investors cheered a surprise announcement from President Donald Trump: a 90-day pause on tariffs for countries that have not retaliated against U.S. trade measures.",0.159029,Somewhat-Bullish,"[[0.9046866297721863, 0.06217716261744499, 0.03313620761036873]]",-0.8715504221618176,Bullish,1.0305794221618176
"Here Is How To Look Ahead In This Market, China Dashes Stock Market Bulls Hopium, Bond Canary Sick - SPDR S&P 500  ( ARCA:SPY ) ","To gain an edge, this is what you need to know today. Please click here for an enlarged chart of SPDR S&P 500 ETF Trust SPY which represents the benchmark stock market index S&P 500 ( SPX ) .",0.168209,Somewhat-Bullish,"[[0.04601631313562393, 0.017406467348337173, 0.9365772604942322]]",0.8905609473586082,Bearish,-0.7223519473586082
"Meta, IBM, Palo Alto Networks: Why Stephanie Link Is Doubling Down On These Tariff-Proof Tech Titans - Meta Platforms  ( NASDAQ:META ) , IBM  ( NYSE:IBM ) , Palo Alto Networks  ( NASDAQ:PANW ) ","Stephanie Link adds META, IBM, and PANW, favoring scalable software-driven firms with AI and recurring revenue upside. Tariff-proof, high-margin tech stocks top Link's buy list amid market pullback and rising AI-driven demand.",0.091482,Neutral,"[[0.8203491568565369, 0.030586853623390198, 0.14906398952007294]]",-0.6712851673364639,Bullish,0.7627671673364639
"Comparing Apple With Industry Competitors In Technology Hardware, Storage & Peripherals Industry - Apple  ( NASDAQ:AAPL ) ","In today's rapidly changing and highly competitive business world, it is imperative for investors and industry observers to carefully assess companies before making investment choices.",0.264624,Somewhat-Bullish,"[[0.10639948397874832, 0.014812083914875984, 0.8787883520126343]]",0.772388868033886,Bearish,-0.507764868033886
Does SNAP's Launch of an AI Ad Format Signal a Buy for the Stock?,"Snap makes continuous innovations in its advertising strategy, and its recent launch of an AI ad format presents a buy opportunity for investors in 2025.",0.415646,Bullish,"[[0.8060113191604614, 0.007406698074191809, 0.18658189475536346]]",-0.619429424405098,Bullish,1.035075424405098
"PC Market Starts 2025 With Solid Growth, Tariff Turbulence Looms","PC shipments rose 4.9% in the first quarter of 2025, but looming tariffs and inflation threaten to derail the market's momentum.",0.086811,Neutral,"[[0.04269227385520935, 0.9409063458442688, 0.01640135794878006]]",-0.02629091590642929,Neutral,0.11310191590642929
Tesla Underdelivers,And we take a look at Texas Instruments and Taiwan Semiconductor.,0.106708,Neutral,"[[0.06570683419704437, 0.013793827965855598, 0.920499324798584]]",0.8547924906015396,Bearish,-0.7480844906015396
How To Trade SPY As China Spews Retaliatory Tariffs - SPDR S&P 500  ( ARCA:SPY ) ,"Good Morning Traders! In today's Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, and TSLA. Our proprietary formula, exclusive to Market Clubhouse, dictates these price levels. This dynamic equation takes into account price, volume, and options flow.",0.179033,Somewhat-Bullish,"[[0.03883117437362671, 0.016225166618824005, 0.9449436664581299]]",0.9061124920845032,Bearish,-0.7270794920845032
"Stock Market News for Apr 9, 2025","Wall Street closed sharply lower on Tuesday, weighed down by the raging tariff war.",0.012308,Neutral,"[[0.00889757089316845, 0.9733791947364807, 0.01772322878241539]]",0.00882565788924694,Neutral,0.003482342110753059
"Foxconn Eyes Nissan, Mitsubishi In Japan EV Push To Counter China's Growing Auto Threat -  ( HNHAY ) , Nissan Motor Co  ( OTC:NSANF ) , Nissan Motor Co  ( OTC:NSANY ) ","Foxconn eyes Japan EV push, in talks with Nissan and Mitsubishi to counter China's battery vehicle competition. EV buses and microbuses planned for Japan by 2027 as Foxconn targets B2B deals over direct consumer sales. With stocks plunging, steady income is key.",0.134114,Neutral,"[[0.25260794162750244, 0.4858652949333191, 0.26152682304382324]]",0.0089188814163208,Neutral,0.1251951185836792
"This Apple Analyst Is No Longer Bearish; Here Are Top 5 Upgrades For Wednesday - Apple  ( NASDAQ:AAPL ) , Bath & Body Works  ( NYSE:BBWI ) ","Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades, downgrades and initiations, please see our analyst ratings page. Seaport Global analyst David Joyce upgraded the rating for Sirius XM Holdings Inc.",0.30954,Somewhat-Bullish,"[[0.3334549367427826, 0.03827773034572601, 0.6282672882080078]]",0.2948123514652252,Bearish,0.014727648534774762
Is Nvidia's Artificial Intelligence  ( AI )  Business Recession-Resistant?,"Nvidia ( NASDAQ: NVDA ) held its GPU Technology Conference ( GTC ) 2025 last month in San Jose, California. The artificial intelligence ( AI ) chip leader's annual happening is widely considered the world's leading AI event.I watched CEO Jensen Huang's two-hour keynote address in real time, ...",-0.034089,Neutral,"[[0.17142938077449799, 0.023831315338611603, 0.8047392964363098]]",0.6333099156618118,Bearish,-0.6673989156618119
"The Zacks Analyst Blog Highlights Apple, NVIDIA and Broadcom","Apple, NVIDIA and Broadcom are included in this Analyst Blog.",0.331547,Somewhat-Bullish,"[[0.020909467712044716, 0.0331420861184597, 0.9459484219551086]]",0.9250389542430639,Bearish,-0.5934919542430639
Should You Invest in the Invesco NASDAQ Internet ETF  ( PNQI ) ?,Sector ETF report for ...,0.16857,Somewhat-Bullish,"[[0.07896560430526733, 0.009720885194838047, 0.911313533782959]]",0.8323479294776917,Bearish,-0.6637779294776917
Should Motley Fool 100 Index ETF  ( TMFC )  Be on Your Investing Radar?,Style Box ETF report for ...,0.082526,Neutral,"[[0.07804493606090546, 0.015251025557518005, 0.9067040085792542]]",0.8286590725183487,Bearish,-0.7461330725183487
"US Stocks Futures Trade Mixed Ahead Of Opening Bell: 'Preserve Capital In Conditions Of High Uncertainty,' Says Expert - Aehr Test System  ( NASDAQ:AEHR ) , Apple  ( NASDAQ:AAPL ) ",U.S. stock futures were volatile on Wednesday after the equities reversed gains on Tuesday following President Donald Trump's 104% tariff on China. Futures of major benchmark indices were mixed in premarket.,-0.022002,Neutral,"[[0.01881510578095913, 0.957169771194458, 0.024015123024582863]]",0.0052000172436237335,Neutral,-0.027202017243623734
"Apple Stock Nosediving Since 'Liberation Day' Tariffs Has Created Panic, Says Gene Munster: Predicts Tim Cook's 'Favorable' Relationship With Trump, Xi Jinping Will Rescue iPhone-Maker - Apple  ( NASDAQ:AAPL ) ","Apple Inc. AAPL investors have ""slid into panic mode"" with shares dropping 23% since Apr. 2, according to Deepwater Asset Management Managing Partner Gene Munster, who warns the situation could deteriorate further amid escalating U.S.-China tensions.",-0.036785,Neutral,"[[0.007939739152789116, 0.9733048677444458, 0.018755456432700157]]",0.010815717279911041,Neutral,-0.04760071727991104
Apple Reportedly Flew 5 Flights Of iPhones Ahead Of Trump's 104% Tariffs On China Taking Effect: Stock Sinks Amid Esclating US-China Trade Tensions - Apple  ( NASDAQ:AAPL ) ,"Apple Inc. AAPL completed an urgent logistics operation in late March, transporting five planeloads of iPhones and other products from manufacturing centers in India and China to the U.S. within 72 hours.",0.04529,Neutral,"[[0.7263302803039551, 0.11681970953941345, 0.15684999525547028]]",-0.5694802850484848,Bullish,0.6147702850484849
Where Will Nvidia Stock Be in 3 Years?,"April 2, 2025, will likely go down in history books as a major turning point in international trade. Under the leadership of President Donald Trump, the U.S. has imposed substantial tariffs on imports from many of its top trading partners, including East Asian nations like Taiwan and South Korea, ...",0.024372,Neutral,"[[0.35052379965782166, 0.4341014325618744, 0.21537478268146515]]",-0.1351490169763565,Neutral,0.1595210169763565
"Ford, GM To Witness 'Higher Demand' As American Carmakers Set To 'Reap The Fruit Of Protectionism,' Says Expert: Here's A List Of Potential Gainers And Losers From Trump Tariffs - Apple  ( NASDAQ:AAPL ) , Costco Wholesale  ( NASDAQ:COST ) ","Despite President Donald Trump's tariffs sending shockwaves through the stock market, one analyst believes the domestic automotive industry in the U.S. is poised for a surprising boost. Here is a list of potential beneficiaries and losers of the new trade policy.",0.048474,Neutral,"[[0.2890006899833679, 0.04580918326973915, 0.6651901602745056]]",0.3761894702911377,Bearish,-0.3277154702911377
"Dow Dips Over 300 Points As US-China Trade Tensions Escalate: Apple, Tesla, Nvidia, Amazon Decline, Greed Index Remains In 'Extreme Fear' Zone - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ","The CNN Money Fear and Greed index showed an increase in the overall fear level, while the index remained in the ""Extreme Fear"" zone on Tuesday.",-0.164195,Somewhat-Bearish,"[[0.08173099905252457, 0.8964911699295044, 0.021777816116809845]]",-0.05995318293571472,Neutral,-0.10424181706428529
"Trump Threatened TSMC He'd Impose Up To 100% Tariffs If It Didn't Manufacture Chips In US: 'These Chip Companies Are Loaded' - Apple  ( NASDAQ:AAPL ) , Advanced Micro Devices  ( NASDAQ:AMD ) ","Taiwan Semiconductor Manufacturing Co. Ltd. TSM shares fell 3.37% to close at $141.37 on Tuesday, extending losses in after-hours trading by another 1.89% to $138.70, as investors continued to react to President Donald Trump's threat of imposing tariffs as high as 100% if the chipmaker did not ...",0.067676,Neutral,"[[0.007904532365500927, 0.9751942157745361, 0.016901247203350067]]",0.00899671483784914,Neutral,0.05867928516215086
"Trump's 104% Tariff On Chinese Imports Sends Stock Futures Plunging - Dow Falls Over 500 Points - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ","Stock futures tumbled on Tuesday evening as markets braced for President Donald Trump's 104% tariff on Chinese imports taking effect at 12:01 a.m. ET Wednesday, erasing a brief relief rally and sending major indexes to significant lows.",-0.073445,Neutral,"[[0.011658263392746449, 0.9714474678039551, 0.016894271597266197]]",0.005236008204519749,Neutral,-0.07868100820451975
Markets Reverse Direction as Tariff Ante Upped on China,An additional +50% tariffs on Chinese imports are now getting levied as of midnight tonight.,-0.011864,Neutral,"[[0.639683187007904, 0.10655157268047333, 0.2537652850151062]]",-0.38591790199279785,Bullish,0.37405390199279787
Broadcom Unveils $10 Billion Stock Buyback: Buy AVGO Stock Now?,Broadcom's latest share repurchase plan is expected to please income-oriented investors. Is it the right time to buy the AVGO stock?,0.344682,Somewhat-Bullish,"[[0.22491267323493958, 0.010608230717480183, 0.7644791007041931]]",0.5395664274692535,Bearish,-0.19488442746925355
"Trump Tariff Strategy Creates 'Self-Inflicted Market Debacle': Analyst - Apple  ( NASDAQ:AAPL ) , Advanced Micro Devices  ( NASDAQ:AMD ) ","China to impose 34% tariff on all U.S. imports starting April 10 in direct response to U.S. 54% duties. U.S. companies like Apple, Nvidia, and GM face 4-5 year delays and high costs if shifting production stateside. With stocks plunging, steady income is key.",0.067616,Neutral,"[[0.01646648533642292, 0.9610134959220886, 0.022519970312714577]]",0.0060534849762916565,Neutral,0.06156251502370834
Apple Stock Suffers Sharp Selloff: Buy the Dip in ETFs?,Apple shares are experiencing a massive market downturn. Should you buy the dip on valuation corrections?,-0.017053,Neutral,"[[0.015888702124357224, 0.8991031646728516, 0.08500820398330688]]",0.06911950185894966,Neutral,-0.08617250185894966
"Marjorie Taylor Greene Buys The Dip: Congresswoman Purchases Shares Of Apple, Amazon, Nike And More Following Tariff-Related Sell-Off - Apple  ( NASDAQ:AAPL ) ",U.S. Rep. Marjorie Taylor Greene ( R-Ga. ) is buying the sharp tariff-related pullback. The latest disclosure from Greene continues a trend of increased trading activity in recent years.,0.222756,Somewhat-Bullish,"[[0.41370877623558044, 0.041076138615608215, 0.5452150702476501]]",0.1315062940120697,Bearish,0.09124970598793031
The Nasdaq Is Officially in a Bear Market. Here's Why History Says Investors Shouldn't Panic.,"The Nasdaq Composite ( NASDAQINDEX: ^IXIC ) is officially in a bear market. While it had been floating around in correction territory for a few weeks, it fell more than 20% below its all-time high after President Donald Trump announced his new tariff plan on April 2.",0.036035,Neutral,"[[0.011713242158293724, 0.96685791015625, 0.021428832784295082]]",0.009715590626001358,Neutral,0.02631940937399864
"Performance Comparison: Apple And Competitors In Technology Hardware, Storage & Peripherals Industry - Apple  ( NASDAQ:AAPL ) ","In the dynamic and cutthroat world of business, conducting thorough company analysis is essential for investors and industry experts. In this article, we will undertake a comprehensive industry comparison, evaluating Apple AAPL and its primary competitors in the Technology Hardware, Storage & ...",0.256313,Somewhat-Bullish,"[[0.07272171974182129, 0.012266822159290314, 0.915011465549469]]",0.8422897458076477,Bearish,-0.5859767458076477
"Marvell Technology, Nvidia, Tesla, Apple And Other Big Stocks Moving Higher On Tuesday - Apple  ( NASDAQ:AAPL ) , Applied Optoelectronics  ( NASDAQ:AAOI ) ","U.S. stocks were higher, with the Dow Jones index surging over 1,300 points on Tuesday. Shares of Marvell Technology, Inc. MRVL rose sharply during Tuesday's session after Infineon Technologies agreed to acquire its Automotive Ethernet Business for $2.5 billion in cash.",0.313595,Somewhat-Bullish,"[[0.9388121962547302, 0.03733394667506218, 0.023853763937950134]]",-0.9149584323167801,Bullish,1.2285534323167802
"SPY, IVV, VOO Battle for Top ETF Crown Amid S&P 500 Swings","SPY, IVV and VOO are battling for the position of the world???s top ETF amid wild swings in the S&P 500.",0.143408,Neutral,"[[0.17424166202545166, 0.026380913332104683, 0.7993773818016052]]",0.6251357197761536,Bearish,-0.4817277197761536
How To Trade The Market Amid Tariff News - SPDR S&P 500  ( ARCA:SPY ) ,"Good Morning Traders! In today's Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, and TSLA. Our proprietary formula, exclusive to Market Clubhouse, dictates these price levels. This dynamic equation takes into account price, volume, and options flow.",0.173238,Somewhat-Bullish,"[[0.03636504337191582, 0.016972297802567482, 0.9466626644134521]]",0.9102976210415363,Bearish,-0.7370596210415363
